"id","sp","rep","site","ind","twig","treatcode","warm","photo","chill","position","gen","row","col"
"BETALL09_SH_06","BETALL","09","SH","BETALL09_SH","06","WL1","warm","long","chill1",41,"BET",1,6
"FAGGRA11_HF_07","FAGGRA","11","HF","FAGGRA11_HF","07","WL1","warm","long","chill1",41,"FAG",1,6
"VIBLAN12_HF_04","VIBLAN","12","HF","VIBLAN12_HF","04","WL1","warm","long","chill1",42,"VIB",2,6
"BETPAP14_HF_09","BETPAP","14","HF","BETPAP14_HF","09","WL1","warm","long","chill1",42,"BET",2,6
"FAGGRA08_SH_10","FAGGRA","08","SH","FAGGRA08_SH","10","WL1","warm","long","chill1",43,"FAG",3,6
"ILEMUC03_SH_11","ILEMUC","03","SH","ILEMUC03_SH","11","WL1","warm","long","chill1",43,"ILE",3,6
"BETALL19_HF_04","BETALL","19","HF","BETALL19_HF","04","WL1","warm","long","chill1",44,"BET",4,6
"ACESAC10_HF_07","ACESAC","10","HF","ACESAC10_HF","07","WL1","warm","long","chill1",44,"ACE",4,6
"ACERUB08_SH_03","ACERUB","08","SH","ACERUB08_SH","03","WL1","warm","long","chill1",45,"ACE",5,6
"VIBLAN09_HF_07","VIBLAN","09","HF","VIBLAN09_HF","07","WL1","warm","long","chill1",45,"VIB",5,6
"FAGGRA03_HF_07","FAGGRA","03","HF","FAGGRA03_HF","07","WL1","warm","long","chill1",46,"FAG",6,6
"ACEPEN08_SH_04","ACEPEN","08","SH","ACEPEN08_SH","04","WL1","warm","long","chill1",46,"ACE",6,6
"ACERUB07_SH_01","ACERUB","07","SH","ACERUB07_SH","01","WL1","warm","long","chill1",47,"ACE",7,6
"QUERUB23_HF_07","QUERUB","23","HF","QUERUB23_HF","07","WL1","warm","long","chill1",47,"QUE",7,6
"BETPAP10_SH_04","BETPAP","10","SH","BETPAP10_SH","04","WL1","warm","long","chill1",48,"BET",8,6
"ACERUB14_HF_01","ACERUB","14","HF","ACERUB14_HF","01","WL1","warm","long","chill1",48,"ACE",8,6
